exp,group,criterion,model,param,id,param_estimate
exp2,skilled,lpp,VS,alpha_i,15,0.222612031719054
exp2,skilled,lpp,VS,alpha_i,19,0.370451693079628
exp2,skilled,lpp,VS,alpha_i,30,0.013247126968469
exp2,skilled,lpp,VS,alpha_i,33,0.004472659375973
exp2,skilled,lpp,VS,alpha_i,35,0.107716443919451
exp2,skilled,lpp,VS,alpha_i,40,0.898652815841209
exp2,skilled,lpp,VS,alpha_i,42,0.065903472006137
exp2,skilled,lpp,VS,alpha_i,46,0.128813429791303
exp2,skilled,lpp,VS,alpha_i,48,0.075651999748704
exp2,skilled,lpp,VS,alpha_i,50,0.015016997342199
exp2,skilled,lpp,VS,alpha_i,51,0.017000464163752
exp2,skilled,lpp,VS,alpha_i,52,0.009071910155151
exp2,skilled,lpp,VS,alpha_i,53,0.037995839976176
exp2,skilled,lpp,VS,alpha_i,54,0.065335671165814
exp2,skilled,lpp,VS,alpha_i,55,0.016793595368528
exp2,skilled,lpp,VS,alpha_i,56,0.111675121234867
exp2,skilled,lpp,VS,alpha_i,60,0.419602562942319
exp2,skilled,lpp,VS,alpha_i,61,0.051182067183339
exp2,skilled,lpp,VS,alpha_i,65,0.066025748163663
exp2,skilled,lpp,VS,alpha_i,66,0.078528436031916
exp2,skilled,lpp,VS,alpha_i,67,0.018762988553877
exp2,skilled,lpp,VS,alpha_i,69,0.123627011315174
exp2,unskilled,lpp,VS,alpha_i,28,0.031273358377891
exp2,unskilled,lpp,VS,alpha_i,31,0.002093956438235
exp2,unskilled,lpp,VS,alpha_i,32,0.000452837873772
exp2,unskilled,lpp,VS,alpha_i,34,0.00058036695118
exp2,unskilled,lpp,VS,alpha_i,36,0.001693923111398
exp2,unskilled,lpp,VS,alpha_i,37,0.194466158222806
exp2,unskilled,lpp,VS,alpha_i,38,0.027684499213247
exp2,unskilled,lpp,VS,alpha_i,39,0.000223506464388
exp2,unskilled,lpp,VS,alpha_i,41,0.00981390146916
exp2,unskilled,lpp,VS,alpha_i,43,0.075569950916476
exp2,unskilled,lpp,VS,alpha_i,44,0.139105366645392
exp2,unskilled,lpp,VS,alpha_i,45,0.004676640012831
exp2,unskilled,lpp,VS,alpha_i,47,0.009700897065362
exp2,unskilled,lpp,VS,alpha_i,49,0.050853288058918
exp2,unskilled,lpp,VS,alpha_i,57,0.002893503551386
exp2,unskilled,lpp,VS,alpha_i,58,0.0001648887381
exp2,unskilled,lpp,VS,alpha_i,59,0.033081431518106
exp2,unskilled,lpp,VS,alpha_i,62,0.00124161579547
exp2,unskilled,lpp,VS,alpha_i,63,0.081227165418148
exp2,unskilled,lpp,VS,alpha_i,64,0.004592872787089
exp2,unskilled,lpp,VS,alpha_i,70,0.226207719034313
exp2,unskilled,lpp,VS,alpha_i,72,0.491374739493821
