exp,expid,cond,alpha_i
exp2,15,skilled,0.242657228333333
exp2,19,skilled,0.635898702325833
exp2,30,skilled,0.023671891416667
exp2,33,skilled,0.0172420235
exp2,35,skilled,0.557950350444973
exp2,40,skilled,0.592832541666667
exp2,42,skilled,0.553762016613063
exp2,46,skilled,0.588464590910209
exp2,48,skilled,0.13198524
exp2,50,skilled,0.0636449475
exp2,51,skilled,0.05858717275
exp2,52,skilled,0.027569064
exp2,53,skilled,0.192437174166667
exp2,54,skilled,0.594567949158333
exp2,55,skilled,0.038629494416667
exp2,56,skilled,0.120583750833333
exp2,60,skilled,0.563232155333333
exp2,61,skilled,0.018566568583333
exp2,65,skilled,0.206151155833333
exp2,66,skilled,0.655244916353905
exp2,67,skilled,0.03577191875
exp2,69,skilled,0.571838404166667
exp2,28,unskilled,0.023577589333333
exp2,31,unskilled,0.003468369216667
exp2,32,unskilled,0.001585543666667
exp2,34,unskilled,0.004818782333333
exp2,36,unskilled,0.000835507558333
exp2,37,unskilled,0.212096951666667
exp2,38,unskilled,0.011366681083333
exp2,39,unskilled,0.000187124945833
exp2,41,unskilled,0.017475472833333
exp2,43,unskilled,0.072907070833333
exp2,44,unskilled,0.1904636
exp2,45,unskilled,0.509521688691667
exp2,47,unskilled,0.019901481583333
exp2,49,unskilled,0.105115805
exp2,57,unskilled,0.004733132166667
exp2,58,unskilled,0.0002009695
exp2,59,unskilled,0.024540883583333
exp2,62,unskilled,0.002597259116667
exp2,63,unskilled,0.007239605916667
exp2,64,unskilled,0.025186970166667
exp2,70,unskilled,0.393035837025
exp2,72,unskilled,0.360710951583333
