exp,id,cond,perf
exp1,3,private,0.7375
exp1,3,skilled,0.5375
exp1,3,unskilled,0.7125
exp1,4,private,0.9625
exp1,4,skilled,0.8875
exp1,4,unskilled,0.7375
exp1,5,private,0.8125
exp1,5,skilled,0.7625
exp1,5,unskilled,0.725
exp1,6,private,0.7
exp1,6,skilled,0.9
exp1,6,unskilled,0.575
exp1,7,private,0.8375
exp1,7,skilled,0.875
exp1,7,unskilled,0.75
exp1,8,private,0.8875
exp1,8,skilled,0.8125
exp1,8,unskilled,0.9
exp1,9,private,0.725
exp1,9,skilled,0.8625
exp1,9,unskilled,0.8
exp1,10,private,0.675
exp1,10,skilled,0.7625
exp1,10,unskilled,0.7625
exp1,11,private,0.6
exp1,11,skilled,0.75
exp1,11,unskilled,0.7
exp1,12,private,0.75
exp1,12,skilled,0.65
exp1,12,unskilled,0.6875
exp1,13,private,0.6
exp1,13,skilled,0.9875
exp1,13,unskilled,0.8125
exp1,14,private,0.825
exp1,14,skilled,0.725
exp1,14,unskilled,0.7
exp1,15,private,0.975
exp1,15,skilled,0.7875
exp1,15,unskilled,0.625
exp1,16,private,0.625
exp1,16,skilled,0.8
exp1,16,unskilled,0.65
exp1,17,private,0.7
exp1,17,skilled,0.6125
exp1,17,unskilled,0.7625
exp1,18,private,0.7125
exp1,18,skilled,0.8
exp1,18,unskilled,0.8375
exp1,19,private,0.825
exp1,19,skilled,0.9375
exp1,19,unskilled,0.9
exp1,20,private,0.4375
exp1,20,skilled,0.7875
exp1,20,unskilled,0.875
exp1,21,private,0.7
exp1,21,skilled,0.8125
exp1,21,unskilled,0.7875
exp1,22,private,0.95
exp1,22,skilled,0.5625
exp1,22,unskilled,0.7125
exp1,23,private,0.7875
exp1,23,skilled,0.875
exp1,23,unskilled,0.725
exp1,24,private,0.8375
exp1,24,skilled,0.8375
exp1,24,unskilled,0.7125
exp1,25,private,0.6125
exp1,25,skilled,0.5875
exp1,25,unskilled,0.5375
exp1,26,private,0.5875
exp1,26,skilled,0.4625
exp1,26,unskilled,0.625
