exp,id,group,perf
exp2,15,skilled,0.1
exp2,19,skilled,0.066666666666667
exp2,30,skilled,0.108333333333333
exp2,33,skilled,-0.083333333333333
exp2,35,skilled,0.075
exp2,40,skilled,0.008333333333333
exp2,42,skilled,-0.05
exp2,46,skilled,-0.041666666666667
exp2,48,skilled,0.041666666666667
exp2,50,skilled,0.166666666666667
exp2,51,skilled,-0.008333333333333
exp2,52,skilled,0.133333333333333
exp2,53,skilled,0.108333333333333
exp2,54,skilled,0.225
exp2,55,skilled,0.125
exp2,56,skilled,0.041666666666667
exp2,60,skilled,0.016666666666667
exp2,61,skilled,0.075
exp2,65,skilled,0.008333333333333
exp2,66,skilled,0.141666666666667
exp2,67,skilled,-0.125
exp2,69,skilled,0.025
exp2,28,unskilled,-0.266666666666667
exp2,31,unskilled,-0.083333333333333
exp2,32,unskilled,-0.083333333333333
exp2,34,unskilled,-0.083333333333333
exp2,36,unskilled,-0.008333333333333
exp2,37,unskilled,-0.1
exp2,38,unskilled,-0.125
exp2,39,unskilled,-0.141666666666667
exp2,41,unskilled,-0.041666666666667
exp2,43,unskilled,-0.075
exp2,44,unskilled,0.091666666666667
exp2,45,unskilled,-0.058333333333333
exp2,47,unskilled,0.2
exp2,49,unskilled,-0.383333333333333
exp2,57,unskilled,-0.025
exp2,58,unskilled,0.108333333333333
exp2,59,unskilled,-0.141666666666667
exp2,62,unskilled,0.191666666666667
exp2,63,unskilled,0.075
exp2,64,unskilled,0.05
exp2,70,unskilled,0.016666666666667
exp2,72,unskilled,-0.108333333333333
