exp,crit,fitM,postM,postSEM,exdP
exp1,aic,DB1,8.53495294551657E-05,1.68407857886337E-05,0
exp1,aic,DB2,6.76403620241228E-05,5.83701967899962E-06,0
exp1,aic,DB3,6.80638001385191E-05,5.85678582538843E-06,0
exp1,aic,DB4,0.281939321446239,0.042749039462801,0.0147
exp1,aic,DB5,7.45227428686987E-05,2.18597364878072E-05,0
exp1,aic,DB6,0.717765102119274,0.042759863755034,0.9853
exp2,aic,DB1,7.46587474050496E-05,4.71444107835294E-06,0
exp2,aic,DB2,7.7829447436921E-05,8.57227249961823E-06,0
exp2,aic,DB3,7.78295672790923E-05,8.57225159441432E-06,0
exp2,aic,DB4,0.386794349702899,0.040972648605735,0.1379
exp2,aic,DB5,8.499745759232E-05,3.4023221893897E-05,0
exp2,aic,DB6,0.612890335077388,0.04096008703033,0.8621
